hashed_lens_id,r1_retrieved,r2_model1_score,r2_model2_score,r2_decision,r3_human_reviewed,r4_rescue_flag,r5_pre_dedup,r6_final_family,exclusion_reason
c7f1733dc7bd428f,True,3.5,2.5,include,False,False,True,merged,
6230ef896e108747,True,1.2,1.8,exclude,False,False,False,False,duplicate_excluded
9ec3368492a2ceb7,True,1.0,1.2,exclude,False,False,False,False,non_patent
eabc16f5627fc21c,True,3.1,3.9,include,False,False,True,True,
70d750ba3bcea1fa,True,1.0,2.3,exclude,False,False,False,False,off_topic
02ba843ff3ea936e,True,4.7,3.2,include,False,False,True,True,
f8809d159e6adfa4,True,4.5,3.5,include,False,False,True,True,
f4d572c60c839dac,True,2.3,1.3,exclude,False,False,False,False,below_threshold
6b501a465e8bb58e,True,0.7,0.7,exclude,False,False,False,False,non_patent
b431813db06c1558,True,4.7,3.6,include,False,False,True,True,
16bc722cc3abbedb,True,1.2,0.8,exclude,False,False,False,False,non_patent
1bb92241e686f7f4,True,3.6,3.3,include,False,False,True,True,
e4d2a128e0483cdd,True,3.0,4.2,include,False,False,True,True,
eb5b6f67be26cf69,True,1.4,0.6,exclude,False,False,False,False,non_patent
7bc26af36bb1fee5,True,2.6,4.4,include,False,False,True,True,
4bdca7ec5b93f71a,True,4.3,4.5,include,False,False,True,True,
830d14ef521e2c86,True,1.0,1.7,exclude,False,False,False,False,off_topic
5f6c0946ba64e555,True,3.7,2.6,include,False,False,True,True,
148e73f37d19d007,True,1.3,1.5,exclude,False,False,False,False,below_threshold
dab61a943f3f047d,True,4.7,3.6,include,False,False,True,True,
a0fb93f236db29fb,True,3.8,3.6,include,False,False,True,True,
94bb58e476474d65,True,4.3,3.5,include,False,False,True,True,
df268a1901e36b8a,True,1.6,0.4,exclude,False,False,False,False,non_patent
61a532af0e5b4902,True,2.0,0.7,exclude,False,False,False,False,non_patent
50c042f426753037,True,1.6,2.1,exclude,False,False,False,False,non_patent
c7cd863b0b2690bc,True,4.9,4.1,include,False,False,True,True,
93ad9907671a15c1,True,2.2,1.2,exclude,False,False,False,False,below_threshold
38abf94d1eb0776c,True,1.5,0.6,exclude,False,False,False,False,duplicate_excluded
b3d7fa3b26fa8eaf,True,2.9,2.8,include,False,False,True,merged,
ae76663d15293031,True,4.9,4.4,include,False,False,True,True,
17e48acdb6461b8a,True,1.8,0.3,exclude,False,False,False,False,off_topic
dfc33183cbaa3b58,True,4.2,4.8,include,False,False,True,True,
386f26158af1681e,True,2.6,4.5,include,False,False,True,True,
1c63cba42c96d45a,True,0.7,0.9,exclude,False,False,False,False,off_topic
a3e7633ee00a3afd,True,3.1,3.5,include,False,False,True,True,
f32c4f98d1c0e486,True,4.2,3.0,include,False,False,True,True,
a4f5a073d5db157f,True,0.4,1.5,exclude,False,False,False,False,non_patent
eb01f2d5eaf0cc19,True,4.0,3.1,include,False,False,True,True,
58199e60c90af94e,True,2.3,0.4,exclude,False,False,False,False,non_patent
e6d3d8057db00f09,True,4.1,3.6,include,False,False,True,True,
fb5c06e628ba58ed,True,3.6,3.5,include,False,False,True,merged,
0018915f3fb45f52,True,3.8,2.6,include,False,False,True,merged,
f210c0f6a2d247cf,True,0.2,2.4,exclude,True,False,False,False,duplicate_excluded
f3005c6e9b4e9aa4,True,1.6,1.1,exclude,False,False,False,False,duplicate_excluded
d230fe61d8ba6aeb,True,3.6,3.3,include,False,False,True,True,
c41cf19a7f906540,True,5.0,4.6,include,False,False,True,True,
dc4968100a0401f2,True,0.3,1.0,exclude,False,False,False,False,duplicate_excluded
002c46c17f277ac8,True,3.1,2.5,include,False,False,True,merged,
5943870d7455c76e,True,2.6,4.6,include,False,False,True,True,
d61022e005330cde,True,3.5,2.5,include,False,False,True,True,
85ffdb5a43d05bcd,True,2.8,3.3,include,False,False,True,merged,
452bb709743c67df,True,4.8,4.4,include,False,False,True,True,
bb6dc1c4fcfb31a6,True,4.6,4.8,include,False,False,True,True,
19288bd4a4f747d0,True,1.9,0.6,exclude,False,False,False,False,duplicate_excluded
d056a121db5e8792,True,3.0,3.0,include,False,False,True,True,
e8d9a6907753831c,True,0.6,1.9,exclude,False,False,False,False,off_topic
b927537b12ec9428,True,2.5,2.8,include,False,False,True,merged,
57dce86737d9453d,True,0.8,1.1,exclude,False,False,False,False,duplicate_excluded
ef031488306e2f81,True,1.8,0.2,exclude,False,False,False,False,duplicate_excluded
d22ff24a87c75e39,True,3.3,3.5,include,False,False,True,True,
86da4af3a56f89dd,True,0.5,2.0,exclude,False,False,False,False,duplicate_excluded
c958e56393cb39f4,True,1.3,2.3,exclude,False,False,False,False,off_topic
179748be80525132,True,3.1,4.6,include,False,False,True,True,
5a11be0311c383bb,True,1.2,2.0,exclude,False,False,False,False,duplicate_excluded
c0977e58c4de2aa7,True,2.0,1.2,exclude,False,False,False,False,below_threshold
590fcfa0a298ae12,True,0.4,2.4,exclude,False,False,False,False,non_patent
971e5c73868b3006,True,4.9,4.5,include,False,False,True,True,
3040cb03d4c9b200,True,0.9,2.0,exclude,False,False,False,False,below_threshold
5ed8fd4bcd4ceeb5,True,0.7,0.3,exclude,False,False,False,False,duplicate_excluded
0c4680acaf494fb8,True,4.2,4.2,include,False,False,True,True,
8f3b41ad58c7c2f5,True,1.5,2.1,exclude,False,False,False,False,duplicate_excluded
1f3915cfaf2d381b,True,2.8,3.1,include,False,False,True,True,
74e18061e0e64780,True,0.1,2.2,exclude,True,False,False,False,duplicate_excluded
a369296ef00549c3,True,2.3,0.6,exclude,False,False,False,False,below_threshold
38d9dc958a8b4541,True,1.6,1.2,exclude,False,False,False,False,duplicate_excluded
e1dada59b433a0fb,True,1.6,0.3,exclude,False,False,False,False,below_threshold
616fab7cc2d1da73,True,4.9,3.3,include,False,False,True,True,
8ee40a04f8c97675,True,1.2,0.2,exclude,False,False,False,False,off_topic
86bc1f5500adf2b6,True,3.5,3.4,include,False,False,True,True,
a5a04bd8afe768a6,True,3.5,3.3,include,False,False,True,merged,
e938ab6a2cd60d69,True,1.5,1.8,exclude,False,False,False,False,non_patent
0efbc58b485b04d6,True,4.1,4.6,include,False,False,True,True,
dc6697b1fd8a12dc,True,1.5,2.3,exclude,False,False,False,False,duplicate_excluded
7213bd75d79a8172,True,0.1,0.9,exclude,False,False,False,False,non_patent
bb2406c0ec196a02,True,1.1,0.6,exclude,False,False,False,False,duplicate_excluded
c136caa5eeceec6e,True,0.2,1.7,exclude,False,False,False,False,duplicate_excluded
83c396d5f50da4b5,True,0.2,0.7,exclude,False,False,False,False,below_threshold
04fa8ec20f2655a6,True,2.8,3.4,include,False,False,True,merged,
e348948ee29e6c78,True,4.2,4.1,include,False,False,True,True,
18a5058a7d7d912c,True,1.5,0.1,exclude,False,False,False,False,duplicate_excluded
88812970b0d728d7,True,0.6,0.3,exclude,False,False,False,False,off_topic
9c5115bcf4ea401b,True,0.2,1.9,exclude,False,False,False,False,off_topic
322cf357044cf46f,True,4.0,4.5,include,False,False,True,True,
6469238a0d42caf9,True,3.1,4.4,include,False,False,True,True,
f99fd89be80897ec,True,2.0,1.5,exclude,False,False,False,False,duplicate_excluded
